[27-Oct-2015 16:59:18 Europe/Berlin] PHP Notice:  Undefined variable: curso in C:\xampp\htdocs\site_novo\modules\turma.class.php on line 21
[27-Oct-2015 16:59:18 Europe/Berlin] PHP Notice:  Undefined variable: query_turmas in C:\xampp\htdocs\site_novo\modules\turma.class.php on line 73
[27-Oct-2015 16:59:18 Europe/Berlin] PHP Notice:  Undefined variable: query_turmas in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 16:59:18 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, null given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 16:59:46 Europe/Berlin] PHP Notice:  Undefined variable: query_turmas in C:\xampp\htdocs\site_novo\modules\turma.class.php on line 73
[27-Oct-2015 16:59:46 Europe/Berlin] PHP Notice:  Undefined variable: query_turmas in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 16:59:46 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, null given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:01:47 Europe/Berlin] PHP Notice:  Undefined variable: query_turmas in C:\xampp\htdocs\site_novo\modules\turma.class.php on line 73
[27-Oct-2015 17:01:47 Europe/Berlin] PHP Notice:  Undefined variable: query_turmas in C:\xampp\htdocs\site_novo\modules\turma.class.php on line 73
[27-Oct-2015 17:01:47 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, null given in C:\xampp\htdocs\site_novo\formandos.php on line 54
[27-Oct-2015 17:02:29 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 54
[27-Oct-2015 17:04:36 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 54
[27-Oct-2015 17:05:54 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 54
[27-Oct-2015 17:07:13 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, boolean given in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:08:49 Europe/Berlin] PHP Notice:  Undefined variable: query_turmas in C:\xampp\htdocs\site_novo\formandos.php on line 53
[27-Oct-2015 17:08:49 Europe/Berlin] PHP Warning:  mysql_fetch_array() expects parameter 1 to be resource, null given in C:\xampp\htdocs\site_novo\formandos.php on line 53
